Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
C0001_example.txt,2464,243,473,409,252,163,101,43,235,10.1399,9.7778,6.0244,1.6831,1.877,1.623,0.3985,0.6468,1.037,0.4008,0.1706,0.1051,0.9325,0.5746
C0000_example.txt,3241,195,649,543,241,279,147,63,307,16.6205,13.4481,5.9687,2.7846,2.6929,2.2531,0.5138,1.1577,1.2359,0.61,0.2614,0.116,1.2739,0.5654
