Feature Name
Total function words
Total pronouns
Personal pronouns
1st pers singular
1st pers plural
2nd person
3rd pers singular
3rd pers plural
Impersonal pronouns
Articles
Common verbs
Auxiliary verbs
Past tense
Present tense
Future tense
Adverbs
Prepositions
Conjunctions
Negations
Quantifiers
Numbers
Swear words
Social processes
Family
Friends
Humans
Affective processes
Positive emotion
Negative emotion
Anxiety
Anger
Sadness
Cognitive processes
Insight
Causation
Discrepancy
Tentative
Certainty
Inhibition
Inclusive
Exclusive
Perceptual processes
See
Hear
Feel
Biological processes
Body
Health
Sexual
Ingestion
Relativity
Motion
Space
Time
Work
Achievement
Leisure
Home
Money
Religion
Death
Assent
Nonfluencies
Fillers
Word count
Sentence
Verb phrase
Clause
T-unit
Dependent clause
Complex T-unit
Coordinate phrase
Complex nominal
Mean length of sentence
Mean length of T-unit
Mean length of clause
Clause per sentence
Verb phrase per T-unit
Clause per T-unit
Dependent clause per clause
Dependent clause per T-unit
T-unit per sentence
Complex T-unit ratio
Coordinate phrase per T-unit
Coordinate phrase per clause
Complex nominal per T-unit
Complex nominal per clause
Simple TTR
Root TTR
Log TTR
Mass TTR
Mean segmental TTR
Moving average TT
Hypergeometric distribution D
Measure of textual lexical diversity
Measure of lexical textual diversity
Measure of lexical textual diversity
Mean of response length
Variance of response length
